bairro_id,nome_bairro,cidade,estado,descricao
1,13 de Julho,Aracaju,SE,"Bairro de 13 de Julho em Aracaju/SE, região atendida pela Crânios IMOB."
2,Aruana,Aracaju,SE,"Bairro de Aruana em Aracaju/SE, região atendida pela Crânios IMOB."
3,Atalaia,Aracaju,SE,"Bairro de Atalaia em Aracaju/SE, região atendida pela Crânios IMOB."
4,Brotas,Aracaju,SE,"Bairro de Brotas em Aracaju/SE, região atendida pela Crânios IMOB."
5,Coroa do Meio,Aracaju,SE,"Bairro de Coroa do Meio em Aracaju/SE, região atendida pela Crânios IMOB."
6,Farolândia,Aracaju,SE,"Bairro de Farolândia em Aracaju/SE, região atendida pela Crânios IMOB."
7,Grageru,Aracaju,SE,"Bairro de Grageru em Aracaju/SE, região atendida pela Crânios IMOB."
8,Jabotiana,Aracaju,SE,"Bairro de Jabotiana em Aracaju/SE, região atendida pela Crânios IMOB."
9,Jardim Centenário,Aracaju,SE,"Bairro de Jardim Centenário em Aracaju/SE, região atendida pela Crânios IMOB."
10,Jardins,Aracaju,SE,"Bairro de Jardins em Aracaju/SE, região atendida pela Crânios IMOB."
11,Luzia,Aracaju,SE,"Bairro de Luzia em Aracaju/SE, região atendida pela Crânios IMOB."
12,Santa Maria,Aracaju,SE,"Bairro de Santa Maria em Aracaju/SE, região atendida pela Crânios IMOB."
13,Siqueira Campos,Aracaju,SE,"Bairro de Siqueira Campos em Aracaju/SE, região atendida pela Crânios IMOB."
